text	root	ending	clitic	partofspeech	form
Ulstile	Ulst	le		H	sg all
Sonbergil	Sonbergil	l		H	sg n
Roelast	Roelast	st		H	sg n
Tiiliku	Tiilik	0		H	sg g
cassa	kassa	0		S	sg g
Karo	Karo	0		H	sg n
Kussegi	Kussegi	0		H	sg n
Leppikul	Leppik	l		H	sg ad
Udernast	Udernast	st		H	sg n
ja	ja	0		H	sg n
pantud	pane	tud		V	tud
seletetus	seleta	tus		V	tud tr
l	l	0		Y	?
om	ole	0		V	b
Kogrele	Kogre	le		H	sg all
Külaotsaga	Külaots	ga		H	sg kom
Nõumeeste	Nõumeeste	0		H	sg n
Rästas	Rästas	0		H	sg n
Kohus	Kohus	0		H	sg n
Kaits	Kaits	0		H	sg n
palutajas	põletaja	s		S	sg tr
Lutsepa	Lutsepa	0		H	sg n
Kautzjoni	Kautzjoni	0		H	sg n
tülitsenuva	tülitse	nuva		V	nuvad
inimise	inimene	0		S	sg g
Heermann	Heermann	0		H	sg n
Kallberg	Kallberg	0		H	sg n
Keiserliko	Keiserliko	0		H	sg n
Jaan	Jaan	0		H	sg n
Tartost	Tartost	st		H	sg n
Nielbe	Nielbe	0		H	sg n
Esak	Esak	0		H	sg n
Tamberg	Tamberg	0		H	sg n
Tiina	Tiina	0		H	sg n
Oktoberi	Oktoberi	0		H	sg n
Kotka	Kotka	0		H	sg n
Noormanni	Noormanni	0		H	sg n
andse	and	se		V	s
nätta	näge	ta		V	da
Koro	Koro	0		H	sg n
Veski	Veski	0		H	sg n
Tütrik	Tütrik	0		H	sg n
Rekkand	Rekkand	0		H	sg n
Niido	Niido	0		H	sg n
Märt	Märt	0		H	sg n
Briker	Briker	0		H	sg n
saap	saa	p		V	b
Johann	Johann	0		H	sg n
I	I	0		Y	sg n
Pangodi	Pangodi	0		H	sg n
Augusti	Augusti	0		H	sg n
Tadold	Tadold	0		H	sg n
Vilhelm	Vilhelm	0		H	sg n
Sauter	Sauter	0		H	sg n
Kutsutus	Kutsutus	s		H	sg n
Brottocoll	Brottocoll	0		H	sg n
Päha	Päha	0		H	sg n
Elia	Elia	0		H	sg n
lainanu	laena	nu		V	nud
Kotkasel	Kotkas	l		H	sg ad
Karli	Karl	0		H	sg g
Varimois	Varimois	0		H	sg n
Vallitsus	Vallitsus	0		H	sg n
Cassa	Cassa	0		H	sg n
Käk	Käk	0		H	sg n
Laursohn	Laurson	0		H	sg g
Kiis	Kiis	0		H	sg n
Domainen	Domainen	0		H	sg n
Posditee	posti_tee	0		S	sg g
Laari	Laari	0		H	sg n
Sohvi	Sohvi	0		H	sg n
Illi	Illi	0		H	sg n
Lena	Lena	0		H	sg n
Tower	Tower	0		H	sg n
Kohto	kohus	0		S	sg g
pantu	pane	tu		V	tud
Käos	Käos	0		H	sg n
Keiserliku	Keiserliku	0		H	sg n
Vallavanemb	valla_vanem	0		S	sg n
Unnipihan	Unnipihan	0		H	sg n
