text	root	ending	clitic	partofspeech	form
Kivastiku	Kivastik	0		H	sg g
Kodasme	Kodasme	0		H	sg n
vötta	võt	a		V	da
Iir	Iir	0		H	sg n
Jaan	Jaan	0		H	sg n
Kuuski	Kuusk	0		H	sg g
Liivakud	Liivak	d		H	sg g
Priksi	Priks	0		H	sg g
Kohli	Kohl	0		H	sg g
Uusil	Uusil	0		H	sg n
Brigo	Brigo	0		H	sg n
Veedleril	Veedler	l		H	sg ad
Linnu	Linnu	0		H	sg n
Staupiga	Staup	ga		H	sg kom
Kohtule	Kohtule	0		H	sg n
Töno	Töno	0		H	sg n
Lübekid	Lübek	d		H	sg g
Kabelil	Kabel	l		H	sg ad
pois-Juhan	pois-Juhan	0		H	sg n
Piiri	Piir	0		H	sg g
teotose	teotus	0		S	sg g
töusnud	tõus	nud		V	nud
Birkenbaumil	Birkenbaum	l		H	sg ad
Koolil	Kool	l		H	sg ad
Ilus	Ilus	0		H	sg n
Soome	Soome	0		H	sg n
Kohl	Kohl	0		H	sg n
vöinud	või	nud		V	nud
Saarvelt	Saar	t		H	sg p
näinuvad	näge	nuvad		V	nuvad
körist	kõri	st		S	sg el
Vöörmündred	Vöörmündred	d		H	sg n
Türnale	Türnale	0		H	sg n
Blaurik	Blaurik	0		H	sg n
kirjotaja	kirjutaja	0		S	sg g
Reimund	Reimund	0		H	sg n
sönu	sõna	u		S	pl p
Korknopelile	Korknopel	le		H	sg all
Trusil	Trusil	0		H	sg n
Saarveld	Saar	0		H	sg g
Truusile	Truus	le		H	sg all
Karli	Karli	0		H	sg n
Honel	Honel	0		H	sg n
Keiserliku	Keiserliku	0		H	sg n
Saarveldi	Saar	0		H	sg g
Könneles	Könneles	0		H	sg n
Koolile	Kool	le		H	sg all
sanud	saa	nud		V	nud
Breegsi	Breeks	0		H	sg g
Tono	Tono	0		H	sg n
Johan	Johan	0		H	sg n
Lange	Lange	0		H	sg n
Protokoli	Protokoli	0		H	sg n
se	see	0		P	sg n
Raual	Raual	0		H	sg n
Suupeedu	Suupeedu	0		H	sg n
Vänikverest	Vänikverest	st		H	sg n
Truusil	Truus	l		H	sg ad
Bruuli	Bruuli	0		H	sg n
Kuk	Kuk	0		H	sg n
Tonno	Tonno	0		H	sg n
Lübekit	Lübek	t		H	sg p
Möisnikuga	Möisnik	ga		H	sg kom
Kabelile	Kabel	le		H	sg all
Mannus	Mannus	0		H	sg n
ütteldes	ütle	des		V	des
Bretti	Brett	0		H	sg g
Treufeldti	Treufeldt	0		H	sg g
Lööpa	Lööpa	0		H	sg n
Visustist	Visustist	st		H	sg n
Brettil	Brett	l		H	sg ad
il	il	0		Y	?
Matsi	Matsi	0		H	sg n
