text	root	ending	clitic	partofspeech	form
viind	vii=nud	d		A	pl n
Anu	Anu	0		H	sg n
Mastil	Mast	l		H	sg ad
Vaske	Vaske	0		H	sg n
Pääva	Pääva	0		H	sg n
kölba	kõlba	0		V	o
Leidas	Leidas	s		H	sg n
löime	loo	ime		V	sime
löime	lõim	0		S	adt
löime	lõim	0		S	sg g
löime	löö	ime		V	sime
löime	lõim	0		S	sg p
Tonis	Tonis	0		H	sg n
ode	õde	0		S	sg n
opetaja	õpetaja	0		S	sg n
Lehmusest	Lehmus	t		H	sg p
Oleril	Oler	l		H	sg ad
Vättinga	Vättinga	0		H	sg n
Andrusse	Andrei	sse		H	sg ill
Orisaares	Orisaares	s		H	sg n
Madal	Madal	0		H	sg n
Juhani	Juhani	0		H	sg n
kirjkus	kirik	s		S	sg in
Pollu	Pollu	0		H	sg n
Tiitma	Tiitma	0		H	sg n
Georgi	Georgi	0		H	sg n
Paltso	Paltsu	0		H	sg n
Pirko	Pirko	0		H	sg n
Thuliko	Thuliko	0		H	sg n
Melonja	Melonja	0		H	sg n
Karli	Karli	0		H	sg n
tösine	tõsine	0		A	sg n
tösine	tõsine	0		V	o
jägada	jaga	da		V	da
Tooma	Tooma	0		H	sg n
Munk	Munk	0		H	sg n
Jurkotamme	Jurkotam	0		H	sg g
Domainen	Domainen	0		H	sg n
Vesman	Vesman	0		H	sg n
Jako	Jako	0		H	sg n
Kerner	Kerner	0		H	sg n
Maksim	Maksim	0		H	sg n
Vällise	Vällise	0		H	sg n
Valt	Valt	0		H	sg n
Antso	Ants	0		H	sg g
Tönis	Tönis	0		H	sg n
hommiko	hommik	0		S	sg g
Saavet	Saavet	0		H	sg n
Vinkli	Vinkli	0		H	sg n
Ants	Ants	0		H	sg n
Balti	Balti	0		H	sg n
öed	õde	d		S	pl n
pölluks	põld	ks		S	sg tr
Prontsesega	Prontses	ga		H	sg kom
Tohmas	Tohmas	0		H	sg n
Erro	Erro	0		H	sg n
Lember	Lember	0		H	sg n
kogo	kogu	0		A	
kogo	kogu	0		S	sg g
kogo	kogu	0		V	o
kogo	kogu	0		S	sg n
kogo	kogu	0		S	sg p
Vörsteile	Vörstri	le		H	sg all
Renne	Renne	0		H	sg n
maakonna	maakonna	0		H	sg n
Saaremaa	Saaremaa	0		H	sg n
Matsi	Matsi	0		H	sg n
Kavandi	Kavandi	0		H	sg n
opetejja	õpetaja	0		S	sg n
Nalkin	Nalkin	0		H	sg n
Madalale	Madal	le		H	sg all
liiguva	liiku	vad		V	vad
Tittma	Tittma	0		H	sg n
Neljas	Neljas	0		H	sg n
Hindo	Hindo	0		H	sg n
Everti	Evert	0		H	sg g
vahetand	vaheta	nud		V	nud
vahetand	vaheta=nu	d		S	pl n
vahetand	vaheta=nud	0		A	
vahetand	vaheta=nud	0		A	sg n
vahetand	vaheta=nud	d		A	pl n
möistetud	mõist	tud		V	tud
möistetud	mõiste=tu	d		S	pl n
möistetud	mõiste=tud	0		A	
möistetud	mõiste=tud	0		A	sg n
möistetud	mõiste=tud	d		A	pl n
Kurgvelli	Kurgvel	0		H	sg g
Nitsi	Nitsi	0		H	sg n
Kõrs	Kõrs	0		H	sg n
vösusid	võsu	sid		S	pl p
vösusid	võsu	sid		V	sid
Ratturi	Rattur	0		H	sg g
Mihakil	Mihail	l		H	sg ad
köigest	kõik	st		P	sg el
köigest	kõigest	0		D	
Mihkeljani	Mihkeljan	0		H	sg g
Muder	Muder	0		H	sg n
läind	läinu	d		S	pl n
läind	läinud	0		A	
läind	läinud	0		A	sg n
läind	läinud	d		A	pl n
läind	mine	nud		V	nud
öiged	õige	d		A	sg p
Silm	Silm	0		H	sg n
Mihkli	Mihkli	0		H	sg n
Avik	Avik	0		H	sg n
Mihaili	Mihail	0		H	sg g
teind	tege	nud		V	nud
teind	tei=nud	0		A	
teind	tei=nud	0		A	sg n
teind	tei=nud	d		A	pl n
teind	teinu	d		S	pl n
Kauvandi	Kauvandi	0		H	sg n
Marjale	Marju	le		H	sg all
öiguse	õigus	0		S	sg g
möistab	mõist	b		V	b
pölvega	põlv	ga		S	sg kom
pölvega	põli	ga		S	sg kom
nöudmise	nõudmine	0		S	sg g
völg	võlg	0		S	sg n
Kukk	Kukk	0		H	sg n
Reinu	Reinu	0		H	sg n
Orissaare	Orissaare	0		H	sg n
Silem	Silem	0		H	sg n
toovri	toober	0		S	sg g
Vöting	Vöting	0		H	sg n
Kurgveli	Kurgvel	0		H	sg g
Tiivit	Tiivit	0		H	sg n
Niitsi	Niitsi	0		H	sg n
kihelkonna	kihelkonna	0		H	sg n
Tonule	Tonu	le		H	sg all
Siner	Siner	0		H	sg n
Reintam	Reintam	0		H	sg n
kasvatand	kasvata	nud		V	nud
kasvatand	kasvata=nu	d		S	pl n
kasvatand	kasvata=nud	0		A	
kasvatand	kasvata=nud	0		A	sg n
kasvatand	kasvata=nud	d		A	pl n
paljo	palju	0		D	
paljo	palju	0		P	sg g
paljo	palju	0		P	sg n
Vasilil	Vasili	l		H	sg ad
Sigalaskma	Sigalaskma	0		H	sg n
Evertile	Evert	le		H	sg all
