text	root	ending	clitic	partofspeech	form
Varblane	Varblane	0		H	sg n
Tuhalaanest	Tuhalaanest	0		H	sg n
Kärstna	Kärstna	0		H	sg n
kaalo	kaal	0		S	adt
kaalo	kaal	0		S	sg g
kaalo	kaalu	0		V	o
kaalo	kaal	0		S	sg p
viimatse	viimane	0		S	sg g
sugo	sugu	0		A	
sugo	sugu	0		D	
sugo	sugu	0		S	sg n
sugo	sugu	0		S	sg p
Aloschkin	Aloschkin	0		H	sg n
Ojassonile	Ojasson	le		H	sg all
Humase	Humase	0		H	sg n
Reilson	Reilson	0		H	sg n
Rooson	Rooson	0		H	sg n
Lagastik	Lagastik	0		H	sg n
Mägi	Mägi	0		H	sg n
tuvva	too	a		V	da
Johanson	Johanson	0		H	sg n
võrko	võrk	0		S	adt
võrko	võrk	0		S	sg p
Robensee	Robensee	0		H	sg n
Kahjo	Kahjo	0		H	sg n
tahas	taht	s		V	ks
Kuuse	Kuuse	0		H	sg n
võlgo	võlg	u		S	pl p
võlgo	võlgu	0		D	
Rusmannile	Rusmannile	0		H	sg n
Räägile	Räägiga	le		H	sg all
Epp	Epp	0		H	sg n
Uusnast	Uusnast	st		H	sg n
Omblus	Omblus	0		H	sg n
Kopeson	Kopeson	0		H	sg n
Pratka	Pratka	0		H	sg n
Pilliuse	Pilliuse	0		H	sg n
Nurk	Nurk	0		H	sg n
elanod	ela	nud		V	nud
elanod	ela=nu	d		S	pl n
elanod	ela=nud	0		A	
elanod	ela=nud	0		A	sg n
elanod	ela=nud	d		A	pl n
talo	talu	0		S	sg g
talo	talu	0		V	o
talo	talu	0		S	sg n
talo	talu	0		S	sg p
Jõgeva	Jõgeva	0		H	sg n
Andersiniga	Andersiniga	ga		H	sg n
Hermasson	Hermasson	0		H	sg n
läinod	mine	nud		V	nud
Kõksi	Kõksi	0		H	sg n
Kõva	Kõva	0		H	sg n
Suisle	Suisle	0		H	sg n
Ojametsa	Ojametsa	0		H	sg n
Meos	Meos	0		H	sg n
Mirkaga	Mirka	ga		H	sg kom
Sester	Sester	0		H	sg n
Kohto	kohtu	0		V	o
Kohto	kohus	0		S	sg g
Landrat	Landrat	0		H	sg n
jõudnod	jõud	nud		V	nud
jõudnod	jõud=nu	d		S	pl n
jõudnod	jõud=nud	0		A	
jõudnod	jõud=nud	0		A	sg n
jõudnod	jõud=nud	d		A	pl n
Lõhmus	Lõhmus	0		H	sg n
Soone	Soone	0		H	sg n
Pers	Pers	0		H	sg n
samma	samma	0		D	
õhto	õhtu	0		S	sg n
veenod	vii	nud		V	nud
teadmada	tead	mada		V	mata
kubermango	kubermang	0		S	adt
kubermango	kubermang	0		S	sg g
kubermango	kubermang	0		S	sg p
Tolman	Tolman	0		H	sg n
Tana	Tana	0		H	sg n
tellinod	telli	nud		V	nud
tellinod	telli=nu	d		S	pl n
tellinod	telli=nud	0		A	
tellinod	telli=nud	0		A	sg n
tellinod	telli=nud	d		A	pl n
Tuksami	Tuksami	0		H	sg n
Liiso	liisk	0		S	sg g
Liiso	liisu	0		V	o
Mensenkampi	Mensenkampi	0		H	sg n
Karo	Karo	0		H	sg n
mito	mitu	0		P	sg n
jutto	jutt	0		S	adt
jutto	jutt	0		S	sg p
lasknod	lask	nud		V	nud
lasknod	lask=nu	d		S	pl n
lasknod	lask=nud	0		A	
lasknod	lask=nud	0		A	sg n
lasknod	lask=nud	d		A	pl n
ollo	ole	u		V	nud
rõugo	rõuk	0		S	sg g
Anton	Anton	0		H	sg n
Varrik	Varrik	0		H	sg n
Viltman	Viltman	0		H	sg n
midage	mis	dagi		P	sg p
Torun	Torun	0		H	sg n
laenanod	laena	nud		V	nud
laenanod	laena=nu	d		S	pl n
laenanod	laena=nud	0		A	
laenanod	laena=nud	0		A	sg n
laenanod	laena=nud	d		A	pl n
ütelnod	ütle	nud		V	nud
känno	känd	0		S	sg g
jäije	jää	je		V	s
mädanenod	mädane	nud		V	nud
mädanenod	mädane=nu	d		S	pl n
mädanenod	mädanenud	0		A	
mädanenod	mädanenud	0		A	sg n
mädanenod	mädanenud	d		A	pl n
Tonis	Tonis	0		H	sg n
veedut	veda	dut		V	tud
Purgale	Purga	le		H	sg all
Pahk	Pahk	0		H	sg n
Jännese	Jännes	0		H	sg g
Märt	Märt	0		H	sg n
Kaarli	Kaarli	0		H	sg n
Ronimuse	Ronimus	0		H	sg g
Ano	Ano	0		H	sg n
Larm	Larm	0		H	sg n
Tänassilma	Tänassilma	0		H	sg n
Kuusk	Kuusk	0		H	sg n
om	ole	m		V	b
Täht	Täht	0		H	sg n
Oijasson	Oijasson	0		H	sg n
rajonod	raiu	nud		V	nud
Peet	Peet	0		H	sg n
Kadaja	Kadaja	0		H	sg n
raho	rahu	0		S	sg g
raho	rahu	0		S	sg n
raho	rahu	0		S	sg p
põetanod	põeta	nud		V	nud
põetanod	põeta=nu	d		S	pl n
põetanod	põeta=nud	0		A	
põetanod	põeta=nud	0		A	sg n
põetanod	põeta=nud	d		A	pl n
Laurson	Laurson	0		H	sg n
Adamihanso	Adamihanso	0		H	sg n
Adamsonil	Adamson	l		H	sg ad
Nuppasson	Nuppasson	0		H	sg n
Toomees	Toom	0		H	sg g
Mõistedi	Mõistedi	0		H	sg n
Viinapuule	Viinapuu	le		H	sg all
Tapperson	Tapperson	0		H	sg n
riisto	riist	u		S	pl p
Almeril	Almer	l		H	sg ad
Abel	Abel	0		H	sg n
Tommo	Tommo	0		H	sg n
teind	tege	nud		V	nud
teind	tei=nud	0		A	
teind	tei=nud	0		A	sg n
teind	tei=nud	d		A	pl n
teind	teinu	d		S	pl n
Soosaar	Soosaar	0		H	sg n
tunginod	tungi	nud		V	nud
tunginod	tungi=nu	d		S	pl n
tunginod	tungi=nud	0		A	
tunginod	tungi=nud	0		A	sg n
tunginod	tungi=nud	d		A	pl n
kalo	kala	u		S	pl p
kalo	kalu	0		S	sg g
kalo	kalu	0		S	sg n
kalo	kalu	0		S	sg p
Mäeotsa	Mäeotsa	0		H	sg n
Rosenbergi	Rosenbergi	0		H	sg n
riiso	riisu	0		V	o
Ombluse	Ombluse	0		H	sg n
Vaser	Vaser	0		H	sg n
Ronnimust	Ronnimus	t		H	sg p
Tangson	Tangson	0		H	sg n
heino	hein	u		S	pl p
Laurissoni	Laur	0		H	sg g
purjo	purju	0		D	
Liller	Liller	0		H	sg n
Saaremaa	Saaremaa	0		H	sg n
Pernäga	Pern	ga		H	sg kom
kostse	kost	se		V	s
laulnod	laul	nud		V	nud
laulnod	laul=nu	d		S	pl n
laulnod	laul=nud	0		A	
laulnod	laul=nud	0		A	sg n
laulnod	laul=nud	d		A	pl n
Ainson	Ainson	0		H	sg n
Viilipus	Viilipus	0		H	sg n
mõistnod	mõist	nud		V	nud
mõistnod	mõist=nu	d		S	pl n
mõistnod	mõist=nud	0		A	
mõistnod	mõist=nud	0		A	sg n
mõistnod	mõist=nud	d		A	pl n
Paulmeistri	Paulmeistri	0		H	sg n
keiserligo	keiser_ligu	0		S	sg n
keiserligo	keiser_ligu	0		S	sg p
Kuigatsi	Kuigatsi	0		H	sg n
Ungersonile	Ungerson	le		H	sg all
Tauts	Tauts	0		H	sg n
käsko	käsk	0		S	adt
käsko	käsk	0		S	sg p
songinod	songi	nud		V	nud
songinod	songi=nu	d		S	pl n
songinod	songi=nud	0		A	
songinod	songi=nud	0		A	sg n
songinod	songi=nud	d		A	pl n
Kulbisaare	Kulbisaare	0		H	sg n
Adamsoni	Adamson	0		H	sg g
Pupli	Pupli	0		H	sg n
Kalev	Kalev	0		H	sg n
löönod	löö	nud		V	nud
löönod	löö=nu	d		S	pl n
