text	root	ending	clitic	partofspeech	form
Vidrik	Vidrik	0		H	sg n
kunnetu	künd	tu		V	tud
Täkk	Täkk	0		H	sg n
Ludvig	Ludvig	0		H	sg n
Maksi	Maks	0		H	sg g
Rämma	Rämma	0		H	sg n
Pollizeikohtule	Pollizeikohtule	le		H	sg n
tunnistajade	tunnistaja	de		S	pl g
kihhelkonna	kihelkond	0		S	sg g
Sööt	Sööt	0		H	sg n
Marri	Marri	0		H	sg n
Reidolfu	Reidolf	0		H	sg g
Lauri	Lauri	0		H	sg n
Piir	Piir	0		H	sg n
Reidolf	Reidolf	0		H	sg n
pesno	peks	no		V	nud
Sööti	Sööt	0		H	sg g
veddaman	veda	man		V	mas
vällavetult	välja_vee=tult	0		D	
Kihhelkonna	Kihhelkonna	0		H	sg n
Roosenfeldi	Roosenfeldi	0		H	sg n
Han	Han	0		H	sg n
Preestri	Preetri	0		H	sg g
karjamöisa	karja_mõis	0		S	sg g
Hahn	Hahn	0		H	sg n
Antipovi	Antipov	0		H	sg g
vakkkamaad	vaka_maa	d		S	sg p
ärra	ära	0		D	
nemma	tema	0		P	pl n
Kiik	Kiik	0		H	sg n
mist	mis	t		P	sg p
Sössarat	Sössara	t		H	sg p
Kirepist	Kirepist	st		H	sg n
Hofrichtikohto	Hofrichtikohto	0		H	sg n
Kirrepis	Kirrepi	0		H	sg g
sundino	sundi	no		V	nud
tedda	tema	da		P	sg p
Sariko	Sariko	0		H	sg n
venne	vene	0		G	
Kolbergile	Kolberg	le		H	sg all
Rükki	Rükki	0		H	sg n
Urb	Urb	0		H	sg n
Reidolfile	Reidolf	le		H	sg all
vöip	või	p		V	b
Urbole	Urbole	0		H	sg n
Öppetaja	õpetaja	0		S	sg g
ükss	üks	0		N	sg n
sunnissi	sundi	ssi		V	ksid
Reino	Reino	0		H	sg n
töstmine	tõstmine	0		S	sg n
kaaro	kaer	o		S	pl p
Redolf	Redolf	0		H	sg n
Vidriko	Vidrik	0		H	sg g
pandno	pane	no		V	nud
tulno	tule	no		V	nud
Mats	Mats	0		H	sg n
Luchsil	Luchs	l		H	sg ad
Vuttil	Vutt	l		H	sg ad
ennamb	enam	0		D	
Pääsoke	Pääsoke	0		H	sg n
Julius	Julius	0		H	sg n
ullesraggoma	üles_raiu	ma		V	ma
V.	V.	0		Y	sg n
arvatass	arva	tass		V	takse
Juhanson	Juhan	0		H	sg g
Kuikatse	Kuikatse	0		H	sg n
Haan	Haan	0		H	sg n
rahha	raha	0		S	sg p
koddo	kodu	0		S	sg ill
Juhansonil	Juhan	l		H	sg ad
Hain	Hain	0		H	sg n
höiguss	õigus	0		S	sg n
sellle	see	0		P	sg g
Kristan	Kristan	0		H	sg n
arro	arv	0		S	sg g
Kaara	Kaara	0		H	sg n
Evärt	Evärt	0		H	sg n
Liivima	Liivima	0		H	sg n
Parrol	Parrol	0		H	sg n
Luchss	Luchs	0		H	sg g
Palloperravallitseja	Palloperra	0		H	sg g
Biinige	Biinige	0		H	sg n
kaibas	kaeba	s		V	s
Sultsi	Sults	0		H	sg g
Jürripäivast	Jürripäivast	st		H	sg n
Teska	Teska	0		H	sg n
M.	M.	0		Y	sg n
Advocat	Advocat	0		H	sg n
Ann	Ann	0		H	sg n
Kallas	Kallas	0		H	sg n
Siad	Siad	d		H	sg n
Vutte	Vutt	0		H	sg g
Hans	Hans	0		H	sg n
Pallolle	Pallo	le		H	sg all
Millerile	Miller	le		H	sg all
Eisenschmidti	Eisenschmidt	0		H	sg g
Köikis	kõik	0		P	sg n
Möistus	mõistus	0		S	sg n
Pauli	Paul	0		H	sg g
pööl	pool	0		N	sg n
Parrolil	Parrol	l		H	sg ad
saano	saa	no		V	nud
Mudsi	Mudsi	0		H	sg n
Jukkale	Jukka	le		H	sg all
nöudmissen	nõudmine	n		S	sg in
Eisenschmidtil	Eisenschmidt	l		H	sg ad
mtte	mitte	0		D	
tahtvet	taht	vet		V	vat
Johann	Johann	0		H	sg n
Kürvitse	Kürvits	0		H	sg g
mehhe	mees	0		S	sg g
Art	Art	0		Y	sg n
Petersoni	Petersoni	0		H	sg n
ommete	ometi	0		D	
tävveste	täiesti	0		D	
Sössara	Sössara	0		H	sg n
Tilga	Tilga	0		H	sg n
Sulzi	Sulz	0		H	sg g
öppetaajale	õpetaja	le		S	sg all
toono	too	no		V	nud
Kaupmees	Kaupmees	0		H	sg n
Tilk	Tilk	0		H	sg n
Kroono	Kroono	0		H	sg n
Tedre	Tedre	0		H	sg n
Veikesest	Veikesest	st		H	sg n
pääle	peale	0		K	
Leucfeldt	Leucfeldt	0		H	sg n
Valgutast	Valgotast	t		H	sg p
temma	tema	0		P	sg n
kutsono	kutsu	no		V	nud
Juusti	Juust	0		H	sg g
Johansooni	Johan	0		H	sg g
kutsomisse	kutsumine	0		S	sg g
andno	and	no		V	nud
künneto	künd	to		V	tud
Nissod	Nisso	d		H	sg g
Mikko	Mikko	0		H	sg n
Rossmann	Rossmann	0		H	sg n
Kiikol	Kiik	l		H	sg ad
Jula	Jula	0		H	sg n
Eichelmanile	Eichelman	le		H	sg all
Reidolv	Reidolv	0		H	sg n
Sulz	Sulz	0		H	sg n
Rämmal	Rämma	l		H	sg ad
ollev	ole	v		V	vat
Tammin	Tamm	0		H	sg g
Rästa	Räst	ta		H	sg ab
Tammest	Tamm	t		H	sg p
Reidolfiga	Reidolf	ga		H	sg kom
Simmon	Simmon	0		H	sg n
Petrile	Petrile	0		H	sg n
Simson	Simson	0		H	sg n
vangerd	vanker	d		S	sg p
Lehbert	Lehbert	0		H	sg n
Söödi	Söödi	0		H	sg n
Villole	Villo	le		H	sg all
Jaagule	Jaagule	le		H	sg n
Reinholdt	Reinholdt	0		H	sg n
Rosnfeldt	Rosnfeldt	0		H	sg n
kartolit	kartul	t		S	sg p
Mikkojaani	Mikko	0		H	sg g
Töstamendi	Töstamendi	0		H	sg n
Kolberg	Kolberg	0		H	sg n
Boklaffi	Boklaffi	0		H	sg n
öpetaja	õpetaja	0		S	sg g
Abbikohtomees	Abbikohtomees	0		H	sg n
üttlep	ütle	p		V	b
Riga	Riga	0		H	sg n
Pätsi	Pätsi	0		H	sg n
Silla	Silla	0		H	sg n
nöudmisi	nõudmine	i		S	pl p
vankrega	vanker	ga		S	sg kom
kuikatsin	Kuigatsi	n		H	sg in
Rosenfeldti	Rosenfeldt	0		H	sg g
Kolgbergi	Kolgbergi	0		H	sg n
habbin	abi	n		S	sg in
Rosenfelt	Rosenfelt	lt		H	sg n
