text	root	ending	clitic	partofspeech	form
Kedda	Kedda	0		H	sg n
Sunni	Sunni	0		H	sg n
raggoto	raiu	tu		V	tud
Jörg	Jörg	0		H	sg n
Kesse	Kesse	0		H	sg n
Pitter	Pitter	0		H	sg n
usko	usk	0		S	sg p
Kaddajas	Kaddaja	0		H	sg g
se	see	0		P	sg n
Rodenberg	Rodenberg	0		H	sg n
Karelson	Karelson	0		H	sg n
Pittesil	Pittes	l		H	sg ad
Ants	Ants	0		H	sg n
Aappi	Aappi	0		H	sg n
Mäelookkale	Mäelookkale	0		H	sg n
Michelso	Michelso	0		H	sg n
Sino	Sino	0		H	sg n
Linast	Linast	st		H	sg n
Suremba	Suremba	0		H	sg n
länno	mine	nu		V	nud
halv	halb	0		A	sp n
Laan	Laan	0		H	sg n
Zeik	Zeik	0		H	sg n
olno	ole	nu		V	nud
perremes	pere_mees	0		S	sg n
pak	pakk	0		S	sg n
mõteto	mõõt	tu		V	tud
valla	valla	0		H	sg n
Messikäp	Messikap	0		H	sg n
Ullila	Ullila	0		H	sg n
raggono	raiu	nu		V	nud
Latsi	Latsi	0		H	sg n
Pallos	Pallos	0		H	sg n
pallotano	põleta	nu		V	nud
Oenn	Oenn	0		H	sg n
Puk	Puk	0		H	sg n
Bergmani	Bergmann	0		H	sg n
Behterile	Behter	le		H	sg all
Kobbilusse	Kobbilusse	sse		H	sg n
Kontrahtin	Kontrahtin	0		H	sg n
Kaevas	Kaevas	0		H	sg n
raudpud	raud_puu	0		S	sg p
Se	Se	0		Y	sg n
assemel	asemel	0		K	
Jürri	Jürri	0		H	sg n
kaebtussega	kaebus	ga		S	sg kom
trahvito	trahvi	tu		V	tud
Küssida	Küssida	0		H	sg n
Michel	Michel	0		H	sg n
Eva	Eva	0		H	sg n
voino	või	nu		V	nud
vallitsus	valitsus	0		S	sg n
kullelda	kuul	da		V	da
Savvi	Savvi	0		H	sg n
Metsikole	Metsik	le		H	sg all
künart	küünar	t		S	sg p
perrast	pärast	0		K	
Andres	Andres	0		H	sg n
Kaevano	Kaevano	0		H	sg n
Kõddara	Kõddar	0		H	sg g
Verri	Verri	0		H	sg n
kül	küll	0		D	
Kaupmees	Kaupmees	0		H	sg n
nüd	nüüd	0		D	
puijega	puu	jega		S	pl kom
Tiitjens	Tiitjens	0		H	sg n
Kask	Kask	0		H	sg n
Künda	Künda	a		H	sg n
Sild	Sild	0		H	sg n
T.	T.	0		Y	sg n
Mui	Mui	0		H	sg n
Rätsep	Rätsep	0		H	sg n
Entmannil	Entmann	l		H	sg ad
Narus	Narus	0		H	sg n
Terraverren	Terraverre	0		H	sg g
Mili	Mili	0		H	sg n
Oltile	Oltile	0		H	sg n
Arroson	Arroson	0		H	sg n
Kirjotada	Kirjotada	0		H	sg n
Kassile	Kass	le		H	sg all
Keert	Keert	0		H	sg n
opmann	opman	0		S	sg n
Loskit	Loskit	0		H	sg n
Kõrrist	Kõrrist	0		H	sg n
Sinno	Sinno	0		H	sg n
Kärnel	Kärnel	0		H	sg n
tetto	tege	tu		V	tud
Kaevatav	Kaevatav	0		H	sg n
Shoeiner	Shoeiner	0		H	sg n
vabbandamadda	vabanda	mada	V	mata	
Koddajas	Koddajas	0		H	sg n
Bergmann	Bergmann	0		H	sg n
havatsid	haavane	sid		A	pl p
Entmanni	Entmanni	0		H	sg n
Koddar	Koddar	0		H	sg n
raggoja	raiuja	0		S	sg n
muido	muidu	0		D	
ütten	ühes	0		K	
Ullilan	Ullila	0		H	sg g
Kulno	Kulno	0		H	sg n
Joh	Joh	0		H	sg n
Pittes	Pittes	0		H	sg n
Tamingo	Tamingo	0		H	sg n
Karelsoni	Karelson	0		H	sg g
Kolno	Kolno	0		H	sg n
Ullilast	Ullila	t		H	sg p
mõtsast	mets	st		S	sg el
Säl	Säl	0		H	sg n
Jerševile	Jerševile	0		H	sg n
Kats	Kats	0		H	sg n
Käijil	Käijil	0		H	sg n
K	K	0		Y	sg n
Martsist	märts	st		S	sg el
Kasper	Kasp	0		H	sg g
